sentance,list,senId,userFieldName,id
The dune rose from the edge of the water,7,sn_69,q9,list7-q9
Those words were the cue for the actor to leave,7,sn_70,q10,list7-q10
A yacht slid around the point into the bay,8,sn_71,q1,list8-q1
The two met while playing on the sand,8,sn_72,q2,list8-q2
The ink stain dried on the finished page,8,sn_73,q3,list8-q3
The walled town was seized without a fight,8,sn_74,q4,list8-q4
The lease ran out in sixteen weeks,8,sn_75,q5,list8-q5
A tame squirrel makes a nice pet,8,sn_76,q6,list8-q6
The horn of the car woke the sleeping cop,8,sn_77,q7,list8-q7
The heart beat strongly and with firm strokes,8,sn_78,q8,list8-q8
The pearl was worn in a thin silver ring,8,sn_79,q9,list8-q9
The fruit peel was cut in thick slices,8,sn_80,q10,list8-q10
The Navy attacked the big task force,9,sn_81,q1,list9-q1
See the cat glaring at the scared mouse,9,sn_82,q2,list9-q2
There are more than two factors here,9,sn_83,q3,list9-q3
The hat brim was wide and too droopy,9,sn_84,q4,list9-q4
The lawyer tried to lose his case,9,sn_85,q5,list9-q5
The grass curled around the fence post,9,sn_86,q6,list9-q6
Cut the pie into large parts,9,sn_87,q7,list9-q7
Men strive but seldom get rich,9,sn_88,q8,list9-q8
Always close the barn door tight,9,sn_89,q9,list9-q9
He lay prone and hardly moved a limb,9,sn_90,q10,list9-q10
The slush lay deep along the street,10,sn_91,q1,list10-q1
A wisp of cloud hung in the blue air,10,sn_92,q2,list10-q2
A pound of sugar costs more than eggs,10,sn_93,q3,list10-q3
The fin was sharp and cut the clear water,10,sn_94,q4,list10-q4
The play seems dull and quite stupid,10,sn_95,q5,list10-q5
Bail the boat to stop it from sinking,10,sn_96,q6,list10-q6
The term ended in late June that year,10,sn_97,q7,list10-q7
A tusk is used to make costly gifts,10,sn_98,q8,list10-q8
Ten pins were set in order,10,sn_99,q9,list10-q9
The bill was paid every third week,10,sn_100,q10,list10-q10
Oak is strong and also gives shade,11,sn_101,q1,list11-q1
Cats and dogs each hate the other,11,sn_102,q2,list11-q2
The pipe began to rust while new,11,sn_103,q3,list11-q3
Open the crate but dont break the glass,11,sn_104,q4,list11-q4
Add the sum to the product of these three,11,sn_105,q5,list11-q5
Thieves who rob friends deserve jail,11,sn_106,q6,list11-q6
The ripe taste of cheese improves with age,11,sn_107,q7,list11-q7
Act on these orders with great speed,11,sn_108,q8,list11-q8
The hog crawled under the high fence,11,sn_109,q9,list11-q9
Move the vat over the hot fire,11,sn_110,q10,list11-q10
The bark of the pine tree was shiny and dark,12,sn_111,q1,list12-q1
Leaves turn brown and yellow in the fall,12,sn_112,q2,list12-q2
The pennant waved when the wind blew,12,sn_113,q3,list12-q3
Split the log with a quick sharp blow,12,sn_114,q4,list12-q4
Burn peat after the logs give out,12,sn_115,q5,list12-q5
He ordered peach pie with ice cream,12,sn_116,q6,list12-q6
Weave the carpet on the right hand side,12,sn_117,q7,list12-q7
Hemp is a weed found in parts of the tropics,12,sn_118,q8,list12-q8
A lame back kept his score low,12,sn_119,q9,list12-q9
We find joy in the simplest things,12,sn_120,q10,list12-q10
Type out three lists of orders,13,sn_121,q1,list13-q1
The harder he tried the less he got done,13,sn_122,q2,list13-q2
The boss ran the show with a watchful eye,13,sn_123,q3,list13-q3
The cup cracked and spilled its contents,13,sn_124,q4,list13-q4
Paste can cleanse the most dirty brass,13,sn_125,q5,list13-q5
The slang word for raw whiskey is booze,13,sn_126,q6,list13-q6
It caught its hind paw in a rusty trap,13,sn_127,q7,list13-q7
The wharf could be seen at the farther shore,13,sn_128,q8,list13-q8
Feel the heat of the weak dying flame,13,sn_129,q9,list13-q9
The tiny girl took off her hat,13,sn_130,q10,list13-q10
A cramp is no small danger on a swim,14,sn_131,q1,list14-q1
He said the same phrase thirty times,14,sn_132,q2,list14-q2
Pluck the bright rose without leaves,14,sn_133,q3,list14-q3
Two plus seven is less than ten,14,sn_134,q4,list14-q4
The glow deepened in the eyes of the sweet girl,14,sn_135,q5,list14-q5
Bring your problems to the wise chief,14,sn_136,q6,list14-q6
Write a fond note to the friend you cherish,14,sn_137,q7,list14-q7
Clothes and lodging are free to new men,14,sn_138,q8,list14-q8
We frown when events take a bad turn,14,sn_139,q9,list14-q9
Port is a strong wine with a smoky taste,14,sn_140,q10,list14-q10
The young kid jumped the rusty gate,15,sn_141,q1,list15-q1
Guess the results from the first scores,15,sn_142,q2,list15-q2
A salt pickle tastes fine with ham,15,sn_143,q3,list15-q3
The just claim got the right verdict,15,sn_144,q4,list15-q4
These thistles bend in a high wind,15,sn_145,q5,list15-q5
Pure bred poodles have curls,15,sn_146,q6,list15-q6
The tree top waved in a graceful way,15,sn_147,q7,list15-q7
The spot on the blotter was made by green ink,15,sn_148,q8,list15-q8
Mud was spattered on the front of his white shirt,15,sn_149,q9,list15-q9
The cigar burned a hole in the desk top,15,sn_150,q10,list15-q10
The empty flask stood on the tin tray,16,sn_151,q1,list16-q1
A speedy man can beat this track mark,16,sn_152,q2,list16-q2
He broke a new shoelace that day,16,sn_153,q3,list16-q3
The coffee stand is too high for the couch,16,sn_154,q4,list16-q4
The urge to write short stories is rare,16,sn_155,q5,list16-q5
The pencils have all been used,16,sn_156,q6,list16-q6
The pirates seized the crew of the lost ship,16,sn_157,q7,list16-q7
We tried to replace the coin but failed,16,sn_158,q8,list16-q8
She sewed the torn coat quite neatly,16,sn_159,q9,list16-q9
The sofa cushion is red and of light weight,16,sn_160,q10,list16-q10
The jacket hung on the back of the wide chair,17,sn_161,q1,list17-q1
At that high level the air is pure,17,sn_162,q2,list17-q2
Drop the two when you add the figures,17,sn_163,q3,list17-q3
A filing case is now hard to buy,17,sn_164,q4,list17-q4
An abrupt start does not win the prize,17,sn_165,q5,list17-q5
Wood is best for making toys and blocks,17,sn_166,q6,list17-q6
The office paint was a dull sad tan,17,sn_167,q7,list17-q7
He knew the skill of the great young actress,17,sn_168,q8,list17-q8
A rag will soak up spilled water,17,sn_169,q9,list17-q9
A shower of dirt fell from the hot pipes,17,sn_170,q10,list17-q10
Steam hissed from the broken valve,18,sn_171,q1,list18-q1
The child almost hurt the small dog,18,sn_172,q2,list18-q2
There was a sound of dry leaves outside,18,sn_173,q3,list18-q3
The sky that morning was clear and bright blue,18,sn_174,q4,list18-q4
Torn scraps littered the stone floor,18,sn_175,q5,list18-q5
Sunday is the best part of the week,18,sn_176,q6,list18-q6
The doctor cured him with these pills,18,sn_177,q7,list18-q7
The new girl was fired today at noon,18,sn_178,q8,list18-q8
They felt gay when the ship arrived in port,18,sn_179,q9,list18-q9
Add the stores account to the last cent,18,sn_180,q10,list18-q10
Acid burns holes in wool cloth,19,sn_181,q1,list19-q1
Fairy tales should be fun to write,19,sn_182,q2,list19-q2
Eight miles of woodland burned to waste,19,sn_183,q3,list19-q3
The third act was dull and tired the players,19,sn_184,q4,list19-q4
A young child should not suffer fright,19,sn_185,q5,list19-q5
Add the column and put the sum here,19,sn_186,q6,list19-q6
We admire and love a good cook,19,sn_187,q7,list19-q7
There the flood mark is ten inches,19,sn_188,q8,list19-q8
He carved a head from the round block of marble,19,sn_189,q9,list19-q9
She has a smart way of wearing clothes,19,sn_190,q10,list19-q10
The fruit of a fig tree is appleshaped,20,sn_191,q1,list20-q1
Corn cobs can be used to kindle a fire,20,sn_192,q2,list20-q2
Where were they when the noise started,20,sn_193,q3,list20-q3
The paper box is full of thumb tacks,20,sn_194,q4,list20-q4
Sell your gift to a buyer at a good gain,20,sn_195,q5,list20-q5
The tongs lay beside the ice pail,20,sn_196,q6,list20-q6
The petals fall with the next puff of wind,20,sn_197,q7,list20-q7
Bring your best compass to the third class,20,sn_198,q8,list20-q8
They could laugh although they were sad,20,sn_199,q9,list20-q9
Farmers came in to thresh the oat crop,20,sn_200,q10,list20-q10
The brown house was on fire to the attic,21,sn_201,q1,list21-q1
The lure is used to catch trout and flounder,21,sn_202,q2,list21-q2
Float the soap on top of the bath water,21,sn_203,q3,list21-q3
A blue crane is a tall wading bird,21,sn_204,q4,list21-q4
A fresh start will work such wonders,21,sn_205,q5,list21-q5
The club rented the rink for the fifth night,21,sn_206,q6,list21-q6
After the dance they went straight home,21,sn_207,q7,list21-q7
The hostess taught the new maid to serve,21,sn_208,q8,list21-q8
He wrote his last novel there at the inn,21,sn_209,q9,list21-q9
Even the worst will beat his low score,21,sn_210,q10,list21-q10
The cement had dried when he moved it,22,sn_211,q1,list22-q1
The loss of the second ship was hard to take,22,sn_212,q2,list22-q2
The fly made its way along the wall,22,sn_213,q3,list22-q3
Do that with a wooden stick,22,sn_214,q4,list22-q4
Live wires should be kept covered,22,sn_215,q5,list22-q5
The large house had hot water taps,22,sn_216,q6,list22-q6
It is hard to erase blue or red ink,22,sn_217,q7,list22-q7
Write at once or you may forget it,22,sn_218,q8,list22-q8
The doorknob was made of bright clean brass,22,sn_219,q9,list22-q9
The wreck occurred by the bank on Main Street,22,sn_220,q10,list22-q10
A pencil with black lead writes best,23,sn_221,q1,list23-q1
Coax a young calf to drink from a bucket,23,sn_222,q2,list23-q2
Schools for ladies teach charm and grace,23,sn_223,q3,list23-q3
The lamp shone with a steady green flame,23,sn_224,q4,list23-q4
They took the axe and the saw to the forest,23,sn_225,q5,list23-q5
The ancient coin was quite dull and worn,23,sn_226,q6,list23-q6
The shaky barn fell with a loud crash,23,sn_227,q7,list23-q7
Jazz and swing fans like fast music,23,sn_228,q8,list23-q8
Rake the rubbish up and then burn it,23,sn_229,q9,list23-q9
Slash the gold cloth into fine ribbons,23,sn_230,q10,list23-q10
Try to have the court decide the case,24,sn_231,q1,list24-q1
They are pushed back each time they attack,24,sn_232,q2,list24-q2
He broke his ties with groups of former friends,24,sn_233,q3,list24-q3
They floated on the raft to sun their white backs,24,sn_234,q4,list24-q4
The map had an X that meant nothing,24,sn_235,q5,list24-q5
Whitings are small fish caught in nets,24,sn_236,q6,list24-q6
Some ads serve to cheat buyers,24,sn_237,q7,list24-q7
Jerk the rope and the bell rings weakly,24,sn_238,q8,list24-q8
A waxed floor makes us lose balance,24,sn_239,q9,list24-q9
Madam this is the best brand of corn,24,sn_240,q10,list24-q10
On the islands the sea breeze is soft and mild,25,sn_241,q1,list25-q1
The play began as soon as we sat down,25,sn_242,q2,list25-q2
This will lead the world to more sound and fury,25,sn_243,q3,list25-q3
Add salt before you fry the egg,25,sn_244,q4,list25-q4
The rush for funds reached its peak Tuesday,25,sn_245,q5,list25-q5
The birch looked stark white and lonesome,25,sn_246,q6,list25-q6
The box is held by a bright red snapper,25,sn_247,q7,list25-q7
To make pure ice you freeze water,25,sn_248,q8,list25-q8
The first worm gets snapped early,25,sn_249,q9,list25-q9
Jump the fence and hurry up the bank,25,sn_250,q10,list25-q10
Yell and clap as the curtain slides back,26,sn_251,q1,list26-q1
They are men who walk the middle of the road,26,sn_252,q2,list26-q2
Both brothers wear the same size,26,sn_253,q3,list26-q3
In some form or other we need fun,26,sn_254,q4,list26-q4
The prince ordered his head chopped off,26,sn_255,q5,list26-q5
The houses are built of red clay bricks,26,sn_256,q6,list26-q6
Ducks fly north but lack a compass,26,sn_257,q7,list26-q7
Fruit flavors are used in fizz drinks,26,sn_258,q8,list26-q8
These pills do less good than others,26,sn_259,q9,list26-q9
Canned pears lack full flavor,26,sn_260,q10,list26-q10
The dark pot hung in the front closet,27,sn_261,q1,list27-q1
Carry the pail to the wall and spill it there,27,sn_262,q2,list27-q2
The train brought our hero to the big town,27,sn_263,q3,list27-q3
We are sure that one war is enough,27,sn_264,q4,list27-q4
Gray paint stretched for miles around,27,sn_265,q5,list27-q5
The rude laugh filled the empty room,27,sn_266,q6,list27-q6
High seats are best for football fans,27,sn_267,q7,list27-q7
Tea served from the brown jug is tasty,27,sn_268,q8,list27-q8
A dash of pepper spoils beef stew,27,sn_269,q9,list27-q9
A zestful food is the hotcross bun,27,sn_270,q10,list27-q10
The horse trotted around the field at a brisk pace,28,sn_271,q1,list28-q1
Find the twin who stole the pearl necklace,28,sn_272,q2,list28-q2
Cut the cord that binds the box tightly,28,sn_273,q3,list28-q3
The red tape bound the smuggled food,28,sn_274,q4,list28-q4
Look in the corner to find the tan shirt,28,sn_275,q5,list28-q5
The cold drizzle will halt the bond drive,28,sn_276,q6,list28-q6
Nine men were hired to dig the ruins,28,sn_277,q7,list28-q7
The junk yard had a mouldy smell,28,sn_278,q8,list28-q8
The flint sputtered and lit a pine torch,28,sn_279,q9,list28-q9
Soak the cloth and drown the sharp odor,28,sn_280,q10,list28-q10
The shelves were bare of both jam or crackers,29,sn_281,q1,list29-q1
A joy to every child is the swan boat,29,sn_282,q2,list29-q2
All sat frozen and watched the screen,29,sn_283,q3,list29-q3
A cloud of dust stung his tender eyes,29,sn_284,q4,list29-q4
To reach the end he needs much courage,29,sn_285,q5,list29-q5
Shape the clay gently into block form,29,sn_286,q6,list29-q6
A ridge on a smooth surface is a bump or flaw,29,sn_287,q7,list29-q7
Hedge apples may stain your hands green,29,sn_288,q8,list29-q8
Quench your thirst then eat the crackers,29,sn_289,q9,list29-q9
Tight curls get limp on rainy days,29,sn_290,q10,list29-q10
The mute muffled the high tones of the horn,30,sn_291,q1,list30-q1
The gold ring fits only a pierced ear,30,sn_292,q2,list30-q2
The old pan was covered with hard fudge,30,sn_293,q3,list30-q3
Watch the log float in the wide river,30,sn_294,q4,list30-q4
The node on the stalk of wheat grew daily,30,sn_295,q5,list30-q5
The heap of fallen leaves was set on fire,30,sn_296,q6,list30-q6
Write fast if you want to finish early,30,sn_297,q7,list30-q7
His shirt was clean but one button was gone,30,sn_298,q8,list30-q8
The barrel of beer was a brew of malt and hops,30,sn_299,q9,list30-q9
Tin cans are absent from store shelves,30,sn_300,q10,list30-q10
Slide the box into that empty space,31,sn_301,q1,list31-q1
The plant grew large and green in the window,31,sn_302,q2,list31-q2
The beam dropped down on the workmens head,31,sn_303,q3,list31-q3
Pink clouds floated with the breeze,31,sn_304,q4,list31-q4
She danced like a swan tall and graceful,31,sn_305,q5,list31-q5
The tube was blown and the tire flat and useless,31,sn_306,q6,list31-q6
It is late morning on the old wall clock,31,sn_307,q7,list31-q7
Lets all join as we sing the last chorus,31,sn_308,q8,list31-q8
The last switch cannot be turned off,31,sn_309,q9,list31-q9
The fight will end in just six minutes,31,sn_310,q10,list31-q10
The store walls were lined with colored frocks,32,sn_311,q1,list32-q1
The peace league met to discuss their plans,32,sn_312,q2,list32-q2
The rise to fame of a person takes luck,32,sn_313,q3,list32-q3
Paper is scarce so write with much care,32,sn_314,q4,list32-q4
The quick fox jumped on the sleeping cat,32,sn_315,q5,list32-q5
The nozzle of the fire hose was bright brass,32,sn_316,q6,list32-q6
Screw the round cap on as tight as needed,32,sn_317,q7,list32-q7
Time brings us many changes,32,sn_318,q8,list32-q8
The purple tie was ten years old,32,sn_319,q9,list32-q9
Men think and plan and sometimes act,32,sn_320,q10,list32-q10
Fill the ink jar with sticky glue,33,sn_321,q1,list33-q1
He smoke a big pipe with strong contents,33,sn_322,q2,list33-q2
We need grain to keep our mules healthy,33,sn_323,q3,list33-q3
Pack the records in a neat thin case,33,sn_324,q4,list33-q4
The crunch of feet in the snow was the only sound,33,sn_325,q5,list33-q5
The copper bowl shone in the suns rays,33,sn_326,q6,list33-q6
Boards will warp unless kept dry,33,sn_327,q7,list33-q7
The plush chair leaned against the wall,33,sn_328,q8,list33-q8
Glass will clink when struck by metal,33,sn_329,q9,list33-q9
Bathe and relax in the cool green grass,33,sn_330,q10,list33-q10
Nine rows of soldiers stood in line,34,sn_331,q1,list34-q1
The beach is dry and shallow at low tide,34,sn_332,q2,list34-q2
The idea is to sew both edges straight,34,sn_333,q3,list34-q3
The kitten chased the dog down the street,34,sn_334,q4,list34-q4
Pages bound in cloth make a book,34,sn_335,q5,list34-q5
Try to trace the fine lines of the painting,34,sn_336,q6,list34-q6
Women form less than half of the group,34,sn_337,q7,list34-q7
The zones merge in the central part of town,34,sn_338,q8,list34-q8
A gem in the rough needs work to polish,34,sn_339,q9,list34-q9
Code is used when secrets are sent,34,sn_340,q10,list34-q10
Most of the news is easy for us to hear,35,sn_341,q1,list35-q1
He used the lathe to make brass objects,35,sn_342,q2,list35-q2
The vane on top of the pole revolved in the wind,35,sn_343,q3,list35-q3
Mince pie is a dish served to children,35,sn_344,q4,list35-q4
The clan gathered on each dull night,35,sn_345,q5,list35-q5
Let it burn it gives us warmth and comfort,35,sn_346,q6,list35-q6
A castle built from sand fails to endure,35,sn_347,q7,list35-q7
A childs wit saved the day for us,35,sn_348,q8,list35-q8
Tack the strip of carpet to the worn floor,35,sn_349,q9,list35-q9
Next Tuesday we must vote,35,sn_350,q10,list35-q10
Pour the stew from the pot into the plate,36,sn_351,q1,list36-q1
Each penny shone like new,36,sn_352,q2,list36-q2
The man went to the woods to gather sticks,36,sn_353,q3,list36-q3
The dirt piles were lines along the road,36,sn_354,q4,list36-q4
The logs fell and tumbled into the clear stream,36,sn_355,q5,list36-q5
Just hoist it up and take it away,36,sn_356,q6,list36-q6
A ripe plum is fit for a kings palate,36,sn_357,q7,list36-q7
Our plans right now are hazy,36,sn_358,q8,list36-q8
Brass rings are sold by these natives,36,sn_359,q9,list36-q9
It takes a good trap to capture a bear,36,sn_360,q10,list36-q10
Feed the white mouse some flower seeds,37,sn_361,q1,list37-q1
The thaw came early and freed the stream,37,sn_362,q2,list37-q2
He took the lead and kept it the whole distance,37,sn_363,q3,list37-q3
The key you designed will fit the lock,37,sn_364,q4,list37-q4
Plead to the council to free the poor thief,37,sn_365,q5,list37-q5
Better hash is made of rare beef,37,sn_366,q6,list37-q6
This plank was made for walking on,37,sn_367,q7,list37-q7
The lake sparkled in the red hot sun,37,sn_368,q8,list37-q8
He crawled with care along the ledge,37,sn_369,q9,list37-q9
Tend the sheep while the dog wanders,37,sn_370,q10,list37-q10
It takes a lot of help to finish these,38,sn_371,q1,list38-q1
Mark the spot with a sign painted red,38,sn_372,q2,list38-q2
Take two shares as a fair profit,38,sn_373,q3,list38-q3
The fur of cats goes by many names,38,sn_374,q4,list38-q4
North winds bring colds and fevers,38,sn_375,q5,list38-q5
He asks no person to vouch for him,38,sn_376,q6,list38-q6
Go now and come here later,38,sn_377,q7,list38-q7
A sash of gold silk will trim her dress,38,sn_378,q8,list38-q8
Soap can wash most dirt away,38,sn_379,q9,list38-q9
That move means the game is over,38,sn_380,q10,list38-q10
He wrote down a long list of items,39,sn_381,q1,list39-q1
A siege will crack the strong defense,39,sn_382,q2,list39-q2
Grape juice and water mix well,39,sn_383,q3,list39-q3
Roads are paved with sticky tar,39,sn_384,q4,list39-q4
Fake stones shine but cost little,39,sn_385,q5,list39-q5
The drip of the rain made a pleasant sound,39,sn_386,q6,list39-q6
Smoke poured out of every crack,39,sn_387,q7,list39-q7
Serve the hot rum to the tired heroes,39,sn_388,q8,list39-q8
Much of the story makes good sense,39,sn_389,q9,list39-q9
The sun came up to light the eastern sky,39,sn_390,q10,list39-q10
Heave the line over the port side,40,sn_391,q1,list40-q1
A lathe cuts and trims any wood,40,sn_392,q2,list40-q2
Its a dense crowd in two distinct ways,40,sn_393,q3,list40-q3
His hip struck the knee of the next player,40,sn_394,q4,list40-q4
The stale smell of old beer lingers,40,sn_395,q5,list40-q5
The desk was firm on the shaky floor,40,sn_396,q6,list40-q6
It takes heat to bring out the odor,40,sn_397,q7,list40-q7
Beef is scarcer than some lamb,40,sn_398,q8,list40-q8
Raise the sail and steer the ship northward,40,sn_399,q9,list40-q9
A cone costs five cents on Mondays,40,sn_400,q10,list40-q10
A pod is what peas always grow in,41,sn_401,q1,list41-q1
Jerk the dart from the cork target,41,sn_402,q2,list41-q2
No cement will hold hard wood,41,sn_403,q3,list41-q3
We now have a new base for shipping,41,sn_404,q4,list41-q4
A list of names is carved around the base,41,sn_405,q5,list41-q5
The sheep were led home by a dog,41,sn_406,q6,list41-q6
Three for a dime the young peddler cried,41,sn_407,q7,list41-q7
The sense of smell is better than that of touch,41,sn_408,q8,list41-q8
No hardship seemed to keep him sad,41,sn_409,q9,list41-q9
Grace makes up for lack of beauty,41,sn_410,q10,list41-q10
Nudge gently but wake her now,42,sn_411,q1,list42-q1
The news struck doubt into restless minds,42,sn_412,q2,list42-q2
Once we stood beside the shore,42,sn_413,q3,list42-q3
A chink in the wall allowed a draft to blow,42,sn_414,q4,list42-q4
Fasten two pins on each side,42,sn_415,q5,list42-q5
A cold dip restores health and zest,42,sn_416,q6,list42-q6
He takes the oath of office each March,42,sn_417,q7,list42-q7
The sand drifts over the sill of the old house,42,sn_418,q8,list42-q8
The point of the steel pen was bent and twisted,42,sn_419,q9,list42-q9
There is a lag between thought and act,42,sn_420,q10,list42-q10
Seed is needed to plant the spring corn,43,sn_421,q1,list43-q1
Draw the chart with heavy black lines,43,sn_422,q2,list43-q2
The boy owed his pal thirty cents,43,sn_423,q3,list43-q3
The chap slipped into the crowd and was lost,43,sn_424,q4,list43-q4
Hats are worn to tea and not to dinner,43,sn_425,q5,list43-q5
The ramp led up to the wide highway,43,sn_426,q6,list43-q6
Beat the dust from the rug onto the lawn,43,sn_427,q7,list43-q7
Say it slowly but make it ring clear,43,sn_428,q8,list43-q8
The straw nest housed five robins,43,sn_429,q9,list43-q9
Screen the porch with woven straw mats,43,sn_430,q10,list43-q10
This horse will nose his way to the finish,44,sn_431,q1,list44-q1
The dry wax protects the deep scratch,44,sn_432,q2,list44-q2
He picked up the dice for a second roll,44,sn_433,q3,list44-q3
These coins will be needed to pay his debt,44,sn_434,q4,list44-q4
The nag pulled the frail cart along,44,sn_435,q5,list44-q5
Twist the valve and release hot steam,44,sn_436,q6,list44-q6
The vamp of the shoe had a gold buckle,44,sn_437,q7,list44-q7
The smell of burned rags itches my nose,44,sn_438,q8,list44-q8
New pants lack cuffs and pockets,44,sn_439,q9,list44-q9
The marsh will freeze when cold enough,44,sn_440,q10,list44-q10
They slice the sausage thin with a knife,45,sn_441,q1,list45-q1
The bloom of the rose lasts a few days,45,sn_442,q2,list45-q2
A gray mare walked before the colt,45,sn_443,q3,list45-q3
Breakfast buns are fine with a hot drink,45,sn_444,q4,list45-q4
Bottles hold four kinds of rum,45,sn_445,q5,list45-q5
The man wore a feather in his felt hat,45,sn_446,q6,list45-q6
He wheeled the bike past the winding road,45,sn_447,q7,list45-q7
Drop the ashes on the worn old rug,45,sn_448,q8,list45-q8
The desk and both chairs were painted tan,45,sn_449,q9,list45-q9
Throw out the used paper cup and plate,45,sn_450,q10,list45-q10
A clean neck means a neat collar,46,sn_451,q1,list46-q1
The couch cover and hall drapes were blue,46,sn_452,q2,list46-q2
The stems of the tall glasses cracked and broke,46,sn_453,q3,list46-q3
The wall phone rang loud and often,46,sn_454,q4,list46-q4
The clothes dried on a thin wooden rack,46,sn_455,q5,list46-q5
Turn on the lantern which gives us light,46,sn_456,q6,list46-q6
The cleat sank deeply into the soft turf,46,sn_457,q7,list46-q7
The bills were mailed promptly on the tenth of the month,46,sn_458,q8,list46-q8
To have is better than to wait and hope,46,sn_459,q9,list46-q9
The price is fair for a good antique clock,46,sn_460,q10,list46-q10
The music played on while they talked,47,sn_461,q1,list47-q1
Dispense with a vest on a day like this,47,sn_462,q2,list47-q2
The bunch of grapes was pressed into wine,47,sn_463,q3,list47-q3
He sent the figs but kept the ripe cherries,47,sn_464,q4,list47-q4
The hinge on the door creaked with old age,47,sn_465,q5,list47-q5
The screen before the fire kept in the sparks,47,sn_466,q6,list47-q6
Fly by night and you waste little time,47,sn_467,q7,list47-q7
Thick glasses helped him read the print,47,sn_468,q8,list47-q8
Birth and death mark the limits of life,47,sn_469,q9,list47-q9
The chair looked strong but had no bottom,47,sn_470,q10,list47-q10
The kite flew wildly in the high wind,48,sn_471,q1,list48-q1
A fur muff is stylish once more,48,sn_472,q2,list48-q2
